window,test,year,estimate,se,wald,p_value
"K={-4,-3,-2,-1}",LI_y=0,2008.0,0.002029648319690572,0.02487507294055407,0.006657525848833378,0.934969840651943
"K={-4,-3,-2,-1}",LI_y=0,2010.0,0.0002711768102761598,0.020574091089089887,0.000173725583679209,0.9894837869326343
"K={-4,-3,-2,-1}",LI_y=0,2012.0,-0.001487294699138252,0.016821929523557287,0.007817041936861571,0.9295476050824574
"K={-4,-3,-2,-1}",LI_y=0,2014.0,-0.003245766208552664,0.014064903841049416,0.05325506687793786,0.817493027541257
"K={-4,-3,-2,-1}",LI_y=0,2016.0,-0.005004237717967076,0.012954761504152933,0.14921655865337716,0.6992851698547335
"K={-4,-3,-2,-1}",LI_y=0,2018.0,-0.006762709227381488,0.013892094500473169,0.23697687684967725,0.6263981508675069
"K={-4,-3,-2,-1}",LI_y=0,2022.0,-0.010279652246210313,0.02021879157611796,0.25849161220813616,0.6111583361944279
"K={-4,-3,-2,-1}",LI_y=0,2024.0,-0.012038123755624724,0.02448355227507492,0.2417512616571157,0.6229441127748618
"K={-4,-3,-2,-1}",gamma_bar=0,,-0.0017584715094144119,0.0052516720389356895,0.11211803522572943,0.7377455487044671
"K={-2,-1}",LI_y=0,2008.0,0.02170046470546344,0.02987019951945923,0.5277908068307736,0.46753713378962114
"K={-2,-1}",LI_y=0,2010.0,0.019903442108676277,0.024694746584909825,0.6496018188604438,0.42025507566116926
"K={-2,-1}",LI_y=0,2012.0,0.01810641951188911,0.02013046249915069,0.8090170061915455,0.3684110327729392
"K={-2,-1}",LI_y=0,2014.0,0.016309396915101942,0.016686636987203043,0.9552964591169691,0.3283747834449825
"K={-2,-1}",LI_y=0,2016.0,0.014512374318314775,0.015147788928812569,0.9178642468701698,0.3380363768628132
"K={-2,-1}",LI_y=0,2018.0,0.012715351721527612,0.016070796087848428,0.6260110140517389,0.4288222865979866
"K={-2,-1}",LI_y=0,2022.0,0.009121306527953277,0.023437372031788264,0.15145941457160758,0.6971445727018897
"K={-2,-1}",LI_y=0,2024.0,0.007324283931166112,0.028487459541881748,0.06610326343553151,0.7970972938627174
"K={-2,-1}",gamma_bar=0,,-0.001797022596787166,0.00623711960668479,0.0830116280729557,0.7732568846103319
"K={-8,...,-1}",LI_y=0,2008.0,0.00036765208131983584,0.02155775307787404,0.0002908486627619874,0.9863933082816302
"K={-8,...,-1}",LI_y=0,2010.0,-0.0019160417937743987,0.017868175156067728,0.01149872145347667,0.9146048568440692
"K={-8,...,-1}",LI_y=0,2012.0,-0.004199735668868633,0.014607816929903995,0.08265578951942619,0.7737301150435134
"K={-8,...,-1}",LI_y=0,2014.0,-0.0064834295439628676,0.012127927024665386,0.2857830330885724,0.5929356221375564
"K={-8,...,-1}",LI_y=0,2016.0,-0.008767123419057101,0.010971170346958147,0.6385697244432315,0.42422919566439954
"K={-8,...,-1}",LI_y=0,2018.0,-0.011050817294151336,0.011542452514811745,0.9166269126993164,0.3383621962770992
"K={-8,...,-1}",LI_y=0,2022.0,-0.015618205044339806,0.016664227309753695,0.8783990923563733,0.34864053026291386
"K={-8,...,-1}",LI_y=0,2024.0,-0.01790189891943404,0.02023124075114741,0.7829844999868919,0.37622992498727825
"K={-8,...,-1}",gamma_bar=0,,-0.0022836938750942343,0.004448688930929284,0.263518855489284,0.6077128951797977
