k,beta,se,pvalue,ci_lower,ci_upper
-18,0.015444476469082499,0.012177509461547806,0.20509354161389903,-0.008423442075551202,0.0393123950137162
-17,0.007624590331883593,0.01304713871308024,0.5591357889674189,-0.017947801545753678,0.033196982209520866
-16,0.0037263748444676206,0.013287252267387896,0.7792119537175741,-0.022316639599612654,0.029769389288547898
-15,-0.010978099976554407,0.011980804999262996,0.359801414557936,-0.03446047777510988,0.012504277822001067
-14,0.0011175795705711002,0.011675945167838906,0.9237714774423149,-0.021767272958393154,0.024002432099535356
-13,0.0053788140590585575,0.015016397540863792,0.7202978106445921,-0.024053325121034475,0.034810953239151586
-12,-0.0056800388300851795,0.014024674111873829,0.6855910621454675,-0.03316840008935788,0.021808322429187524
-11,-0.01251427253077904,0.013057516113799343,0.3381731419781038,-0.038107004113825754,0.013078459052267672
-10,-0.011670080133257245,0.013698412630088001,0.3945263261490266,-0.03851896888822973,0.015178808621715237
-9,0.005988875218752942,0.01566052214227619,0.7022596605553137,-0.024705748180108393,0.036683498617614274
-8,-0.02959735020260718,0.015546491307368702,0.05732076159130006,-0.06006847316504983,0.0008737727598354776
-7,0.005531577422381675,0.017558458930849265,0.7528209713698892,-0.028883002082082887,0.039946156926846235
-6,-0.003102584395238957,0.015284910478969538,0.8392032162387726,-0.033061008934019254,0.026855840143541337
-5,-0.018942154363767616,0.014422474358096562,0.1894590127809217,-0.04721020410563688,0.009325895378101644
-4,-0.020494119016716494,0.016292084511690993,0.20881420102327297,-0.05242660465963084,0.011438366626197849
-3,-0.0279381815021235,0.01656753397765933,0.09215153636684614,-0.06041054809833579,0.004534185094088792
-2,0.006605702300643894,0.01648075980346843,0.6886724416150978,-0.02569658691415423,0.03890799151544202
-1,0.023742527178068514,0.019377895811363757,0.22087187978163092,-0.01423814861220445,0.06172320296834148
