k,beta,se,pvalue,ci_lower,ci_upper,gamma,gamma_se,gamma_pvalue,gamma_ci_lower,gamma_ci_upper
-18,0.03709835912259118,0.02005078308167562,0.06467655215327062,-0.002201175717493037,0.07639789396267539,-0.005777873834005663,0.003970909653180064,0.14607537826714512,-0.013560856754238588,0.002005109086227261
-17,0.02054616996858323,0.024676123094236512,0.40531750233619634,-0.02781903129612033,0.06891137123328679,-0.0034102039075856114,0.005013638326555279,0.49659778013236844,-0.01323693502763396,0.006416527212462737
-16,0.007464819806747447,0.026213922179891908,0.7759027566981982,-0.043914467665840694,0.05884410727933558,-0.0010158355735257524,0.005632256992559501,0.8569186349821587,-0.012055059278942374,0.01002338813189087
-15,0.017029741409273935,0.026526877947111643,0.5210827217744347,-0.034962939367064884,0.06902242218561275,-0.007526981481002367,0.005165393420754359,0.14548300143614679,-0.01765115258568091,0.0025971896236761764
-14,0.0301298896090644,0.021594294193850557,0.16334882834256503,-0.012194927010882688,0.07245470622901148,-0.007720470167452713,0.0044348698760706875,0.08212054085493548,-0.016412815124551262,0.0009718747896458341
-13,0.03358101202976084,0.0304600625665418,0.27061663431955596,-0.02612071060066109,0.09328273466018278,-0.007480345105409642,0.005856455873618549,0.20189958635308658,-0.018958998617702,0.003998308406882714
-12,0.010851833547760138,0.026134326120970355,0.6780906104878817,-0.04037144564934175,0.062075112744862035,-0.0043887428205356335,0.005338230578553524,0.411262762163505,-0.01485167475450054,0.006074189113429274
-11,-0.015445095995052187,0.024965452356727792,0.5363297769018014,-0.06437738261423866,0.033487190624134286,0.0007704644072336055,0.004893876640855341,0.8749450681523685,-0.008821533808842864,0.010362462623310073
-10,-0.02194129842212657,0.022816547083151846,0.33654177160004917,-0.06666173070510419,0.022779133860851047,0.0026562939529306087,0.005190872926122438,0.6089954632183843,-0.00751781698226937,0.012830404888130587
-9,0.023777023905690645,0.032660343128846483,0.46683620569597073,-0.040237248626848465,0.08779129643822975,-0.004749561925863879,0.006442811425698634,0.4612396329855857,-0.017377472320233203,0.007878348468505443
-8,-0.02790181232812269,0.030395455095052894,0.3589360867003504,-0.08747690431442637,0.03167327965818098,-0.0005142583833513004,0.006144044188682088,0.9333171378078327,-0.012556584993168193,0.011528068226465592
-7,0.047240783457078016,0.03208615265922915,0.14135819697574625,-0.015648075755011114,0.11012964266916714,-0.011192566231077422,0.006556322391664278,0.08821141960367185,-0.024042958118739407,0.0016578256565845627
-6,-0.013978730266773449,0.029901641202953737,0.6402853995776039,-0.07258594702456277,0.044628486491015876,0.002762612378868659,0.006327202068278551,0.6625097568881502,-0.0096387036749573,0.01516392843269462
-5,-0.010537617490385481,0.026499354780219832,0.6909976582109092,-0.06247635285961635,0.041401117878845387,-0.002291452727536162,0.005411722056077814,0.6721078558717744,-0.012898427957448678,0.008315522502376353
-4,-0.02697343470740074,0.03194911861281847,0.3987931683688495,-0.08959370718852494,0.03564683777372346,0.0016968991043645593,0.0064785636966940684,0.7934513165006867,-0.011001085741155815,0.014394883949884932
-3,-0.008308901424763851,0.029183748750246666,0.7759453354294852,-0.06550904897524731,0.048891246125719615,-0.005136739948447875,0.0064254834819674,0.4242938292734153,-0.01773068757310398,0.007457207676208229
-2,0.011130598387294004,0.032221925075853176,0.7298642060609817,-0.05202437476137822,0.07428557153596624,-0.0012872474289541084,0.006607676898456192,0.8455939657485589,-0.014238294149928245,0.011663799292020029
-1,0.03227033102363287,0.03699031523697372,0.3832708166420553,-0.040230686840835625,0.10477134888810137,-0.0023067977646202237,0.008057976856395104,0.7747468364698669,-0.018100432403154627,0.01348683687391418
