page_title,election_cycle,total_revisions,unique_editors,net_size_change,minor_edits,anonymous_edits,bot_edits,first_edit,last_edit,office,state,district,party,pvi,pvi_numeric,candidate_was_incumbent,candidate_won_election,vote_percentage,election_type,editing_span_days
Ron_Paul,2008,6229,1572,83170.0,1476,968,7,2006-11-08 19:23:00+00:00,2008-11-04 21:11:34+00:00,House,Texas,Texas 14,Republican,,,True,True,,general,727
Nancy_Pelosi,2008,3980,1640,49824.0,1011,1323,4,2006-11-08 00:09:09+00:00,2008-11-04 00:48:43+00:00,House,California,California 8,Democratic,,,True,True,71.9,general,727
Joe_Biden,2008,2511,983,72023.0,588,542,3,2006-11-08 06:19:28+00:00,2008-11-04 17:13:07+00:00,Senate,Delaware,,Democratic,,,False,True,64.7,general,727
Dennis_Kucinich,2008,1903,989,31368.0,358,750,1,2006-11-09 17:24:04+00:00,2008-11-04 20:02:15+00:00,House,Ohio,Ohio 10,Democratic,,,True,True,57.0,general,726
John_Kerry,2008,1873,821,9703.0,667,462,7,2006-11-08 04:34:05+00:00,2008-11-04 21:28:33+00:00,Senate,Massachusetts,,Democratic,,,False,True,65.8,general,727
Al_Franken,2008,1331,639,12684.0,277,444,3,2006-11-09 06:05:25+00:00,2008-11-04 23:48:32+00:00,Senate,Minnesota,,DFL,,,False,True,41.99,general,726
Keith_Ellison,2008,1314,324,68606.0,362,188,2,2006-11-08 01:58:33+00:00,2008-11-04 05:41:32+00:00,House,Minnesota,Minnesota 5,DFL,,,True,True,70.9,general,727
Jack_Kevorkian,2008,1065,687,1378.0,213,648,1,2006-11-11 21:32:59+00:00,2008-11-04 05:13:01+00:00,House,Michigan,Michigan 9,Independent,,,False,False,2.6,general,723
Ty_Cobb,2008,1044,390,38264.0,427,313,4,2006-11-08 05:17:01+00:00,2008-11-04 16:38:52+00:00,House,North Carolina,North Carolina 12,Republican,,,False,False,28.4,general,727
Michele_Bachmann,2008,1042,353,54427.0,311,244,2,2006-11-08 01:16:04+00:00,2008-11-04 16:24:10+00:00,House,Minnesota,Minnesota 6,Republican,,,True,True,46.4,general,727
Peter_Roskam,2008,1021,181,-8988.0,147,101,0,2006-11-08 03:19:11+00:00,2008-10-31 22:24:07+00:00,House,Illinois,Illinois 6,Republican,,,True,True,57.6,general,723
Ted_Stevens,2008,963,549,63411.0,226,314,3,2006-11-08 01:01:06+00:00,2008-11-04 20:51:42+00:00,Senate,Alaska,,Republican,,,False,False,46.6,general,727
Barney_Frank,2008,900,404,16820.0,180,306,0,2006-11-09 16:07:56+00:00,2008-11-04 16:27:01+00:00,House,Massachusetts,Massachusetts 4,Democratic,,,True,True,68.0,general,726
Cindy_Sheehan,2008,784,343,-13868.0,180,208,2,2006-11-08 21:23:28+00:00,2008-11-04 22:18:28+00:00,House,California,California 8,Independent,,,False,False,16.2,general,727
Jesse_Jackson_Jr.,2008,722,118,106174.0,61,54,2,2006-11-10 03:53:14+00:00,2008-10-30 01:26:09+00:00,House,Illinois,Illinois 2,Democratic,,,True,True,89.4,general,719
Norm_Coleman,2008,707,348,14193.0,168,251,5,2006-11-10 17:09:37+00:00,2008-11-04 19:31:35+00:00,Senate,Minnesota,,Republican,,,False,False,41.98,general,725
Jim_Inhofe,2008,691,323,13464.0,189,245,1,2006-11-09 04:43:19+00:00,2008-10-06 01:58:24+00:00,Senate,Oklahoma,,Republican,,,False,True,56.7,general,696
John_Boehner,2008,519,320,4019.0,80,262,1,2006-11-08 18:41:29+00:00,2008-11-04 23:58:13+00:00,House,Ohio,Ohio 8,Republican,,,True,True,67.9,general,727
Elizabeth_Dole,2008,512,308,16158.0,106,200,1,2006-11-08 17:03:15+00:00,2008-11-04 20:44:11+00:00,Senate,North Carolina,,Republican,,,False,False,44.2,general,727
Mitch_McConnell,2008,508,247,10757.0,95,183,0,2006-11-08 03:57:43+00:00,2008-11-04 20:42:40+00:00,Senate,Kentucky,,Republican,,,False,True,53.0,general,727
John_Murtha,2008,461,279,-4737.0,113,162,0,2006-11-08 15:45:00+00:00,2008-11-04 02:00:45+00:00,House,Pennsylvania,Pennsylvania 12,Democratic,,,True,True,57.9,general,726
Tom_Daley,2008,453,176,12233.0,155,146,1,2007-02-13 00:08:38+00:00,2008-11-03 22:07:05+00:00,House,Texas,Texas 3,Democratic,,,False,False,38.0,general,629
Gabby_Giffords,2008,438,90,11141.0,112,49,0,2006-11-08 07:53:11+00:00,2008-10-20 02:21:42+00:00,House,Arizona,Arizona 8,Democratic,R+1,1.0,True,True,54.7,general,711
Dick_Durbin,2008,423,247,29902.0,116,138,1,2006-11-08 15:31:19+00:00,2008-11-04 23:50:57+00:00,Senate,Illinois,,Democratic,,,False,True,67.8,general,727
Jim_Gilmore,2008,421,195,10170.0,63,131,0,2006-11-10 22:07:09+00:00,2008-11-04 09:04:00+00:00,Senate,Virginia,,Republican,,,False,False,33.7,general,724
Tim_Johnson_(South_Dakota_politician),2008,403,206,15329.0,101,104,0,2006-11-16 02:28:16+00:00,2008-10-30 06:58:01+00:00,Senate,South Dakota,,Democratic,,,False,True,62.5,general,714
Woody_Jenkins,2008,388,81,5314.0,56,148,1,2006-11-08 10:07:15+00:00,2008-10-07 07:14:35+00:00,House,Louisiana,Louisiana 6,Republican,,,False,False,46.27,special,698
Bill_Sali,2008,387,116,12849.0,54,144,0,2006-11-08 06:28:10+00:00,2008-10-29 03:21:43+00:00,House,Idaho,Idaho 1,Republican,,,True,False,49.4,general,720
Rahm_Emanuel,2008,387,210,18610.0,75,143,0,2006-11-08 06:03:29+00:00,2008-11-04 01:50:52+00:00,House,Illinois,Illinois 5,Democratic,,,True,True,73.9,general,726
