state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
Hawaii,Brian Schatz,Democratic,"2012, (appointed)",Interim appointee elected.,Brian Schatz,Democratic,69.8,True,D+20,Appointed(2012)[j],https://en.wikipedia.org/wiki/Brian_Schatz,special
Hawaii,Brian Schatz,Democratic,"2012, (appointed)",Interim appointee elected.,Campbell Cavasso,Republican,27.7,False,D+20,Appointed(2012)[j],https://en.wikipedia.org/wiki/Campbell_Cavasso,special
Hawaii,Brian Schatz,Democratic,"2012, (appointed)",Interim appointee elected.,Michael A. Kokoski,Libertarian,2.5,False,D+20,Appointed(2012)[j],,special
Oklahoma,Tom Coburn,Republican,"2004, 2010","Incumbent resigned, effective January 3, 2015.Republican hold.",James Lankford,Republican,67.9,True,R+19,70.6%(2010),https://en.wikipedia.org/wiki/James_Lankford,special
Oklahoma,Tom Coburn,Republican,"2004, 2010","Incumbent resigned, effective January 3, 2015.Republican hold.",Connie Johnson,Democratic,29.0,False,R+19,70.6%(2010),https://en.wikipedia.org/wiki/Constance_N._Johnson,special
Oklahoma,Tom Coburn,Republican,"2004, 2010","Incumbent resigned, effective January 3, 2015.Republican hold.",Mark T. Beard,Independent,3.2,False,R+19,70.6%(2010),,special
South Carolina,Tim Scott,Republican,"2013, (appointed)",Interim appointeeelected.,Tim Scott,Republican,61.1,True,R+8,Appointed(2013)[n],https://en.wikipedia.org/wiki/Tim_Scott,special
South Carolina,Tim Scott,Republican,"2013, (appointed)",Interim appointeeelected.,Joyce Dickerson,Democratic,37.1,False,R+8,Appointed(2013)[n],https://en.wikipedia.org/wiki/Joyce_Dickerson,special
South Carolina,Tim Scott,Republican,"2013, (appointed)",Interim appointeeelected.,Jill Bossi,American,1.8,False,R+8,Appointed(2013)[n],,special
Alabama,Jeff Sessions,Republican,"1996, 2002, 2008",Incumbent re-elected.,Jeff Sessions,Republican,97.25,True,R+14,63.4%,https://en.wikipedia.org/wiki/Jeff_Sessions,general
Alabama,Jeff Sessions,Republican,"1996, 2002, 2008",Incumbent re-elected.,Write-ins,,2.75,False,R+14,63.4%,https://en.wikipedia.org/wiki/Write-in_candidate,general
Alaska,Mark Begich,Democratic,2008,Incumbent lost re-election.Republican gain.,Dan Sullivan,Republican,48.0,True,R+12,47.8%,https://en.wikipedia.org/wiki/Dan_Sullivan_(U.S._senator),general
Alaska,Mark Begich,Democratic,2008,Incumbent lost re-election.Republican gain.,Mark Begich,Democratic,45.8,False,R+12,47.8%,https://en.wikipedia.org/wiki/Mark_Begich,general
Alaska,Mark Begich,Democratic,2008,Incumbent lost re-election.Republican gain.,Mark Fish,Libertarian,3.7,False,R+12,47.8%,,general
Alaska,Mark Begich,Democratic,2008,Incumbent lost re-election.Republican gain.,Ted Gianoutsos,Independent,2.0,False,R+12,47.8%,,general
Arkansas,Mark Pryor,Democratic,"2002, 2008",Incumbent lost re-election.Republican gain.,Tom Cotton,Republican,56.5,True,R+14,79.5%,https://en.wikipedia.org/wiki/Tom_Cotton,general
Arkansas,Mark Pryor,Democratic,"2002, 2008",Incumbent lost re-election.Republican gain.,Mark Pryor,Democratic,39.4,False,R+14,79.5%,https://en.wikipedia.org/wiki/Mark_Pryor,general
Arkansas,Mark Pryor,Democratic,"2002, 2008",Incumbent lost re-election.Republican gain.,Nathan LaFrance,Libertarian,2.0,False,R+14,79.5%,,general
Arkansas,Mark Pryor,Democratic,"2002, 2008",Incumbent lost re-election.Republican gain.,Mark Swaney,Green,2.0,False,R+14,79.5%,,general
Colorado,Mark Udall,Democratic,2008,Incumbent lost re-election.Republican gain.,Cory Gardner,Republican,48.2,True,D+1,52.8%,https://en.wikipedia.org/wiki/Cory_Gardner,general
Colorado,Mark Udall,Democratic,2008,Incumbent lost re-election.Republican gain.,Mark Udall,Democratic,46.3,False,D+1,52.8%,https://en.wikipedia.org/wiki/Mark_Udall,general
Colorado,Mark Udall,Democratic,2008,Incumbent lost re-election.Republican gain.,Gaylon Kent,Libertarian,2.6,False,D+1,52.8%,,general
Colorado,Mark Udall,Democratic,2008,Incumbent lost re-election.Republican gain.,Stephen H. Shogan,Independent,1.4,False,D+1,52.8%,,general
Colorado,Mark Udall,Democratic,2008,Incumbent lost re-election.Republican gain.,Raúl Acosta,Independent,1.2,False,D+1,52.8%,,general
Colorado,Mark Udall,Democratic,2008,Incumbent lost re-election.Republican gain.,Bill Hammons,Unity,0.3,False,D+1,52.8%,,general
Delaware,Chris Coons,Democratic,"2010, (special)",Incumbent re-elected.,Chris Coons,Democratic,55.8,True,D+8,56.6%(2010 sp.)[i],https://en.wikipedia.org/wiki/Chris_Coons,general
Delaware,Chris Coons,Democratic,"2010, (special)",Incumbent re-elected.,Kevin L. Wade,Republican,42.2,False,D+8,56.6%(2010 sp.)[i],https://en.wikipedia.org/wiki/Kevin_L._Wade,general
Delaware,Chris Coons,Democratic,"2010, (special)",Incumbent re-elected.,Andrew Groff,Green,1.9,False,D+8,56.6%(2010 sp.)[i],https://en.wikipedia.org/wiki/Andrew_Groff,general
Georgia,Saxby Chambliss,Republican,"2002, 2008",Incumbent retired.[26]Republican hold.,David Perdue,Republican,52.9,True,R+6,57.4%,https://en.wikipedia.org/wiki/David_Perdue,general
Georgia,Saxby Chambliss,Republican,"2002, 2008",Incumbent retired.[26]Republican hold.,Michelle Nunn,Democratic,45.2,False,R+6,57.4%,https://en.wikipedia.org/wiki/Michelle_Nunn,general
Georgia,Saxby Chambliss,Republican,"2002, 2008",Incumbent retired.[26]Republican hold.,Amanda Swafford,Libertarian,1.9,False,R+6,57.4%,,general
Idaho,Jim Risch,Republican,2008,Incumbent re-elected.,Jim Risch,Republican,65.3,True,R+18,57.7%,https://en.wikipedia.org/wiki/Jim_Risch,general
Idaho,Jim Risch,Republican,2008,Incumbent re-elected.,Nels Mitchell,Democratic,34.7,False,R+18,57.7%,https://en.wikipedia.org/wiki/Nels_Mitchell,general
Illinois,Dick Durbin,Democratic,"1996, 2002, 2008",Incumbent re-elected.,Dick Durbin,Democratic,53.5,True,D+8,67.8%,https://en.wikipedia.org/wiki/Dick_Durbin,general
Illinois,Dick Durbin,Democratic,"1996, 2002, 2008",Incumbent re-elected.,Jim Oberweis,Republican,42.7,False,D+8,67.8%,https://en.wikipedia.org/wiki/Jim_Oberweis,general
Illinois,Dick Durbin,Democratic,"1996, 2002, 2008",Incumbent re-elected.,Sharon Hansen,Libertarian,3.8,False,D+8,67.8%,,general
Iowa,Tom Harkin,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[27]New senatorelected.Republican gain.,Joni Ernst,Republican,52.1,True,D+1,62.7%,https://en.wikipedia.org/wiki/Joni_Ernst,general
Iowa,Tom Harkin,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[27]New senatorelected.Republican gain.,Bruce Braley,Democratic,43.8,False,D+1,62.7%,https://en.wikipedia.org/wiki/Bruce_Braley,general
Iowa,Tom Harkin,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[27]New senatorelected.Republican gain.,Rick Stewart,Independent,2.4,False,D+1,62.7%,,general
Iowa,Tom Harkin,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[27]New senatorelected.Republican gain.,Doug Butzier,Libertarian,0.7,False,D+1,62.7%,,general
Iowa,Tom Harkin,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[27]New senatorelected.Republican gain.,Bob Quast,Independent,0.5,False,D+1,62.7%,,general
Iowa,Tom Harkin,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[27]New senatorelected.Republican gain.,Ruth Smith,Independent,0.4,False,D+1,62.7%,,general
Kansas,Pat Roberts,Republican,"1996, 2002, 2008",Incumbent re-elected.,Pat Roberts,Republican,53.1,True,R+12,60.1%,https://en.wikipedia.org/wiki/Pat_Roberts,general
Kansas,Pat Roberts,Republican,"1996, 2002, 2008",Incumbent re-elected.,Greg Orman,Independent,42.5,False,R+12,60.1%,https://en.wikipedia.org/wiki/Greg_Orman,general
Kansas,Pat Roberts,Republican,"1996, 2002, 2008",Incumbent re-elected.,Randall Batson,Libertarian,4.3,False,R+12,60.1%,,general
Kentucky,Mitch McConnell,Republican,"1984, 1990, 1996, 2002, 2008",Incumbent re-elected.,Mitch McConnell,Republican,56.1,True,R+13,53.0%,https://en.wikipedia.org/wiki/Mitch_McConnell,general
Kentucky,Mitch McConnell,Republican,"1984, 1990, 1996, 2002, 2008",Incumbent re-elected.,Alison Lundergan Grimes,Democratic,40.7,False,R+13,53.0%,https://en.wikipedia.org/wiki/Alison_Lundergan_Grimes,general
Kentucky,Mitch McConnell,Republican,"1984, 1990, 1996, 2002, 2008",Incumbent re-elected.,David Patterson,Libertarian,3.1,False,R+13,53.0%,,general
Louisiana,Mary Landrieu,Democratic,"1996, 2002, 2008",Incumbent lost re-election in runoff.Republican gain.,Bill Cassidy,Republican,55.9,True,R+12,52.1%,https://en.wikipedia.org/wiki/Bill_Cassidy,general
Louisiana,Mary Landrieu,Democratic,"1996, 2002, 2008",Incumbent lost re-election in runoff.Republican gain.,Mary Landrieu,Democratic,44.1,False,R+12,52.1%,https://en.wikipedia.org/wiki/Mary_Landrieu,general
Maine,Susan Collins,Republican,"1996, 2002, 2008",Incumbent re-elected.,Susan Collins,Republican,68.5,True,D+6,61.3%,https://en.wikipedia.org/wiki/Susan_Collins,general
Maine,Susan Collins,Republican,"1996, 2002, 2008",Incumbent re-elected.,Shenna Bellows,Democratic,31.5,False,D+6,61.3%,https://en.wikipedia.org/wiki/Shenna_Bellows,general
Massachusetts,Ed Markey,Democratic,"2013, (special)",Incumbent re-elected.,Ed Markey,Democratic,62.0,True,D+10,54.8%(2013 sp.)[k],https://en.wikipedia.org/wiki/Ed_Markey,general
Massachusetts,Ed Markey,Democratic,"2013, (special)",Incumbent re-elected.,Brian Herr,Republican,38.0,False,D+10,54.8%(2013 sp.)[k],https://en.wikipedia.org/wiki/Brian_Herr,general
Michigan,Carl Levin,Democratic,"1978, 1984, 1990, 1996, 2002, 2008",Incumbent retired.[28]Democratic hold.,Gary Peters,Democratic,54.6,True,D+4,62.7%,https://en.wikipedia.org/wiki/Gary_Peters,general
Michigan,Carl Levin,Democratic,"1978, 1984, 1990, 1996, 2002, 2008",Incumbent retired.[28]Democratic hold.,Terri Lynn Land,Republican,41.3,False,D+4,62.7%,https://en.wikipedia.org/wiki/Terri_Lynn_Land,general
Michigan,Carl Levin,Democratic,"1978, 1984, 1990, 1996, 2002, 2008",Incumbent retired.[28]Democratic hold.,Jim Fulner,Libertarian,2.0,False,D+4,62.7%,,general
Michigan,Carl Levin,Democratic,"1978, 1984, 1990, 1996, 2002, 2008",Incumbent retired.[28]Democratic hold.,Richard Matkin,U.S. Taxpayers,1.2,False,D+4,62.7%,,general
Michigan,Carl Levin,Democratic,"1978, 1984, 1990, 1996, 2002, 2008",Incumbent retired.[28]Democratic hold.,Chris Wahmhoff,Green,0.9,False,D+4,62.7%,,general
Minnesota,Al Franken,DFL,2008,Incumbent re-elected.,Al Franken,DFL,53.2,True,D+2,41.99%,https://en.wikipedia.org/wiki/Al_Franken,general
Minnesota,Al Franken,DFL,2008,Incumbent re-elected.,Mike McFadden,Republican,42.9,False,D+2,41.99%,https://en.wikipedia.org/wiki/Mike_McFadden,general
Minnesota,Al Franken,DFL,2008,Incumbent re-elected.,Steve Carlson,Independence,2.4,False,D+2,41.99%,,general
Minnesota,Al Franken,DFL,2008,Incumbent re-elected.,Heather Johnson,Libertarian,1.5,False,D+2,41.99%,,general
Mississippi,Thad Cochran,Republican,"1978, 1984, 1990, 1996, 2002, 2008",Incumbent re-elected.,Thad Cochran,Republican,59.9,True,R+9,61.4%,https://en.wikipedia.org/wiki/Thad_Cochran,general
Mississippi,Thad Cochran,Republican,"1978, 1984, 1990, 1996, 2002, 2008",Incumbent re-elected.,Travis Childers,Democratic,37.9,False,R+9,61.4%,https://en.wikipedia.org/wiki/Travis_Childers,general
Mississippi,Thad Cochran,Republican,"1978, 1984, 1990, 1996, 2002, 2008",Incumbent re-elected.,Shawn O'Hara,Reform,2.2,False,R+9,61.4%,,general
Montana,John Walsh,Democratic,"2014, (appointed)",Interim appointee nominated but withdrew.Republican gain.,Steve Daines,Republican,57.8,True,R+7,Appointed(2014)[l],https://en.wikipedia.org/wiki/Steve_Daines,general
Montana,John Walsh,Democratic,"2014, (appointed)",Interim appointee nominated but withdrew.Republican gain.,Amanda Curtis,Democratic,40.1,False,R+7,Appointed(2014)[l],https://en.wikipedia.org/wiki/Amanda_Curtis,general
Nebraska,Mike Johanns,Republican,2008,Incumbent retired.[30]Republican hold.,Ben Sasse,Republican,64.4,True,R+12,57.5%,https://en.wikipedia.org/wiki/Ben_Sasse,general
Nebraska,Mike Johanns,Republican,2008,Incumbent retired.[30]Republican hold.,David Domina,Democratic,31.5,False,R+12,57.5%,https://en.wikipedia.org/wiki/David_Domina,general
Nebraska,Mike Johanns,Republican,2008,Incumbent retired.[30]Republican hold.,Jim Jenkins,Independent,2.9,False,R+12,57.5%,,general
Nebraska,Mike Johanns,Republican,2008,Incumbent retired.[30]Republican hold.,Todd Watson,Independent,1.2,False,R+12,57.5%,,general
New Hampshire,Jeanne Shaheen,Democratic,2008,Incumbentre-elected.,Jeanne Shaheen,Democratic,51.5,True,D+1,51.6%,https://en.wikipedia.org/wiki/Jeanne_Shaheen,general
New Hampshire,Jeanne Shaheen,Democratic,2008,Incumbentre-elected.,Scott Brown,Republican,48.2,False,D+1,51.6%,https://en.wikipedia.org/wiki/Scott_Brown_(politician),general
New Jersey,Cory Booker,Democratic,"2013, (special)",Incumbent re-elected.,Cory Booker,Democratic,55.8,True,D+6,54.9%(2013 sp.)[m],https://en.wikipedia.org/wiki/Cory_Booker,general
New Jersey,Cory Booker,Democratic,"2013, (special)",Incumbent re-elected.,Jeff Bell,Republican,42.3,False,D+6,54.9%(2013 sp.)[m],https://en.wikipedia.org/wiki/Jeff_Bell_(politician),general
New Jersey,Cory Booker,Democratic,"2013, (special)",Incumbent re-elected.,Joe Baratelli,Libertarian,0.9,False,D+6,54.9%(2013 sp.)[m],,general
New Jersey,Cory Booker,Democratic,"2013, (special)",Incumbent re-elected.,Hank Schroeder,Economic Growth,0.3,False,D+6,54.9%(2013 sp.)[m],,general
New Jersey,Cory Booker,Democratic,"2013, (special)",Incumbent re-elected.,Jeff Boss,Independent,0.2,False,D+6,54.9%(2013 sp.)[m],https://en.wikipedia.org/wiki/Jeff_Boss,general
New Jersey,Cory Booker,Democratic,"2013, (special)",Incumbent re-elected.,Eugene M. LaVergne,Independent,0.2,False,D+6,54.9%(2013 sp.)[m],,general
New Jersey,Cory Booker,Democratic,"2013, (special)",Incumbent re-elected.,Antonio Sabas,Independent,0.2,False,D+6,54.9%(2013 sp.)[m],,general
New Mexico,Tom Udall,Democratic,2008,Incumbent re-elected.,Tom Udall,Democratic,55.6,True,D+4,61.3%,https://en.wikipedia.org/wiki/Tom_Udall,general
New Mexico,Tom Udall,Democratic,2008,Incumbent re-elected.,Allen Weh,Republican,44.4,False,D+4,61.3%,https://en.wikipedia.org/wiki/Allen_Weh,general
North Carolina,Kay Hagan,Democratic,2008,Incumbent lost re-election.Republican gain.,Thom Tillis,Republican,48.8,True,R+3,52.7%,https://en.wikipedia.org/wiki/Thom_Tillis,general
