state,district,candidate_name,party,vote_percentage,is_incumbent,is_winner,pvi,election_type,wikipedia_url
Alabama,Alabama 1,Barry Moore,Republican,78.5,False,True,R+28,general,https://en.wikipedia.org/wiki/Barry_Moore_(American_politician)
Alabama,Alabama 1,Tom Holmes,Democratic,21.5,False,False,R+28,general,
Alabama,Alabama 2,Shomari Figures,Democratic,54.6,False,True,D+4,general,https://en.wikipedia.org/wiki/Shomari_Figures
Alabama,Alabama 2,Caroleene Dobson,Republican,45.4,False,False,D+4,general,
Alabama,Alabama 3,Mike Rogers,Republican,100.0,True,True,R+23,general,
Alabama,Alabama 4,Robert Aderholt,Republican,100.0,True,True,R+33,general,
Alabama,Alabama 5,Dale Strong,Republican,100.0,True,True,R+17,general,
Alabama,Alabama 6,Gary Palmer,Republican,70.4,True,True,R+22,general,https://en.wikipedia.org/wiki/Gary_Palmer_(politician)
Alabama,Alabama 6,Elizabeth Anderson,Democratic,29.6,False,False,R+22,general,
Alabama,Alabama 7,Terri Sewell,Democratic,63.7,True,True,D+12,general,https://en.wikipedia.org/wiki/Terri_Sewell
Alabama,Alabama 7,Robin Litaker,Republican,36.3,False,False,D+12,general,
Alaska,Alaska at-large,Nick Begich III,Republican,48.4,False,True,R+8,general_rcv_round1,https://en.wikipedia.org/wiki/Nick_Begich_III
Alaska,Alaska at-large,Mary Peltola,Democratic,46.4,True,True,R+8,general_rcv_round1,https://en.wikipedia.org/wiki/Mary_Peltola
Alaska,Alaska at-large,Independence,Independence,3.9,False,False,R+8,general_rcv_round1,https://en.wikipedia.org/wiki/Alaskan_Independence_Party
Alaska,Alaska at-large,Eric Hafner,Democratic,1.0,False,False,R+8,general_rcv_round1,https://en.wikipedia.org/wiki/Eric_Hafner
Alaska,Alaska at-large,Nick Begich III,Republican,51.3,False,True,R+8,general_rcv_runoff,https://en.wikipedia.org/wiki/Nick_Begich_III
Alaska,Alaska at-large,Mary Peltola,Democratic,48.7,True,False,R+8,general_rcv_runoff,https://en.wikipedia.org/wiki/Mary_Peltola
Arizona,Arizona 1,David Schweikert,Republican,51.9,True,True,R+2,general,https://en.wikipedia.org/wiki/David_Schweikert
Arizona,Arizona 1,Amish Shah,Democratic,48.1,False,False,R+2,general,https://en.wikipedia.org/wiki/Amish_Shah
Arizona,Arizona 2,Eli Crane,Republican,54.5,True,True,R+6,general,https://en.wikipedia.org/wiki/Eli_Crane
Arizona,Arizona 2,Jonathan Nez,Democratic,45.5,False,False,R+6,general,https://en.wikipedia.org/wiki/Jonathan_Nez
Arizona,Arizona 3,Yassamin Ansari,Democratic,70.9,False,True,D+24,general,https://en.wikipedia.org/wiki/Yassamin_Ansari
Arizona,Arizona 3,Jeff Zink,Republican,26.6,False,False,D+24,general,
Arizona,Arizona 3,Alan Aversa,Green,2.5,False,False,D+24,general,
Arizona,Arizona 4,Greg Stanton,Democratic,52.7,True,True,D+2,general,https://en.wikipedia.org/wiki/Greg_Stanton
Arizona,Arizona 4,Kelly Cooper,Republican,45.5,False,False,D+2,general,
Arizona,Arizona 4,Vincent Beck-Jones,Green,1.8,False,False,D+2,general,
Arizona,Arizona 5,Andy Biggs,Republican,60.4,True,True,R+11,general,https://en.wikipedia.org/wiki/Andy_Biggs
Arizona,Arizona 5,Katrina Schaffner,Democratic,39.6,False,False,R+11,general,
Arizona,Arizona 6,Juan Ciscomani,Republican,50.0,True,True,R+3,general,https://en.wikipedia.org/wiki/Juan_Ciscomani
Arizona,Arizona 6,Kirsten Engel,Democratic,47.5,False,False,R+3,general,https://en.wikipedia.org/wiki/Kirsten_Engel
Arizona,Arizona 6,Athena Eastwood,Green,2.5,False,False,R+3,general,
Arizona,Arizona 7,Raúl Grijalva,Democratic,63.4,True,True,D+15,general,https://en.wikipedia.org/wiki/Ra%C3%BAl_Grijalva
Arizona,Arizona 7,Daniel Butierez,Republican,36.6,False,False,D+15,general,
Arizona,Arizona 8,Abraham Hamadeh,Republican,56.5,False,True,R+10,general,https://en.wikipedia.org/wiki/Abraham_Hamadeh
Arizona,Arizona 8,Greg Whitten,Democratic,43.5,False,False,R+10,general,
Arizona,Arizona 9,Paul Gosar,Republican,65.3,True,True,R+16,general,https://en.wikipedia.org/wiki/Paul_Gosar
Arizona,Arizona 9,Quacy Smith,Democratic,34.7,False,False,R+16,general,
Arkansas,Arkansas 1,Rick Crawford,Republican,72.9,True,True,R+22,general,https://en.wikipedia.org/wiki/Rick_Crawford_(politician)
