state,primary_date,runoff_date,actual_primary_date,actual_runoff_date,election_year,source,primary_type,notes
Alabama,2008-06-03,2008-07-15,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Alaska,2008-08-26,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,blanket,Uses top-four/blanket primary since 2022
Arizona,2008-09-02,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Arkansas,2008-05-20,2008-06-10,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
California,2008-06-03,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,top_two,Top-two primary since 2012
Colorado,2008-08-12,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Connecticut,2008-08-12,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Delaware,2008-09-09,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Florida,2008-08-26,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Georgia,2008-07-15,2008-08-05,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Hawaii,2008-09-20,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Idaho,2008-05-27,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Illinois,2008-02-05,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,Super Tuesday
Indiana,2008-05-06,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Iowa,2008-06-03,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Kansas,2008-08-05,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Kentucky,2008-05-20,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Louisiana,2008-09-06,2008-11-04,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,jungle,Jungle primary on general election day
Maine,2008-06-10,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Maryland,2008-02-12,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Massachusetts,2008-09-16,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Michigan,2008-08-05,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Minnesota,2008-09-09,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Mississippi,2008-03-11,2008-04-01,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Missouri,2008-08-05,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Montana,2008-06-03,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Nebraska,2008-05-13,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Nevada,2008-08-12,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
New Hampshire,2008-09-09,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
New Jersey,2008-06-03,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
New Mexico,2008-06-03,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
New York,2008-09-09,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
North Carolina,2008-05-06,2008-06-24,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
North Dakota,2008-06-10,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Ohio,2008-03-04,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Oklahoma,2008-07-29,2008-08-26,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Oregon,2008-05-20,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Pennsylvania,2008-04-22,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Rhode Island,2008-09-09,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
South Carolina,2008-06-10,2008-06-24,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
South Dakota,2008-06-03,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Tennessee,2008-08-07,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Texas,2008-03-04,2008-04-08,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Utah,2008-06-24,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Vermont,2008-09-09,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Virginia,2008-06-10,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Washington,2008-08-19,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,top_two,Top-two primary
West Virginia,2008-05-13,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Wisconsin,2008-09-09,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Wyoming,2008-08-19,,,,2008,https://www.fec.gov/resources/cms-content/documents/2008pdates.pdf,traditional,
Alabama,2010-06-01,2010-07-13,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Alaska,2010-08-24,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,blanket,Uses top-four/blanket primary since 2022
Arizona,2010-08-24,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Arkansas,2010-05-18,2010-06-08,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
California,2010-06-08,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,top_two,Top-two primary since 2012
Colorado,2010-08-10,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Connecticut,2010-08-10,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Delaware,2010-09-14,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Florida,2010-08-24,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Georgia,2010-07-20,2010-08-10,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Hawaii,2010-09-18,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Idaho,2010-05-25,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
Illinois,2010-02-02,,,,2010,https://www.fec.gov/resources/cms-content/documents/2010pdates.pdf,traditional,
